QueryID 	Topic 	Description 	Narrative 
282	Þampiyonlar Ligi	Futbol Avrupa Þampiyonlar ligi 2004-2005 sezonu mücadelesi 	2004-2005 sezonu arasýnda gerçekleþtirilen Futbol Avrupa Þampiyonlar Ligi maçlarýna katýlan bütün takýmlarýn þampiyona sonundaki puan durumlarýný, attýðý-yediði golleri, bu gollerin kimin tarafýndan atýldýðýný, kendi sahalarýnda ve deplasmanda gösterdikleri performanslarýný ve bunun gibi daha birçok bilgiyi açýklayan bir doküman.
283	17 Aðustos Depremi	17 Aðustos Depreminin Türkiye üzerindeki sosyal ve ekonomik etkileri 	17 Aðustos Depreminin Türkiye üzerindeki sosyal ve ekonomik boyuttaki etkileri ve Depremin neden olduðu sorunlar, deprem konusunda alýnan önlemler
284	Türkiye'de internet kullanýmý	Son yýllarda biliþim teknolojisinin geliþmesiyle internet kullanýmýnýn artmasý, kullanýcý profili, kullaným amaçlarý.	Türkiye'de internetin kullaným amaçlarý, kimlerin daha çok kullandýðý, Türk eðitim sisteminde internetin yeri, kamu kurumlarýnda internet kullanýmý, Türkiye'de internet üzerinden yapýlan ticaretin boyutlarý, sýnavlarda internetten yararlanýlmasý, internetin Türkiye'deki geleceði.
288	Amerika Irak iþgal demokrasi petrol	Amerikanýn Irak operasyonu demokrasi adýna yapýlmýþ bir hareket midir yoksa petrol için yapýlan bir iþgal midir?	Amerikanýn Iraký iþgal etmek için öne sürdüðü Iraka demokrasi getirme ve bu sayede dünya barýþýna katkýda bulunma savý doðru mudur. yoksa bu iþgalin tek sebebi petrol ve diðer zenginlik kaynaklarýný sömürmek midir?
289	Türkiye'de futbol þikesi	Þikenin Türk futbolundaki yeri, etkisi, yarattýðý sonuçlar, bu konuda alýnan tedbirler, verilen cezalar, uzman görüþleri.	Türk futbolunda þikenin boyutlarý, yaþanmýþ örnekler, þikeye karýþmýþ takýmlar ve futbolcular, þikenin Türk futbolu üzerindeki etkisi, þikeyi önlemek için alýnan tedbirler, þike soruþturmalarý, þike suçlamasý sonucu ceza alan takýmlar ve futbolcular, kamuoyunun bu konudaki düþünceleri, uzmanlarýn bu konudaki görüþleri.
294	Fadýl Akgündüz	Fadýl Akgündüz'ün milletvekili olamayacaðýna iliþkin  yapýlan itirazlar.	Yargýtay Baþsavcýsý Kanadoðlu’nun, Siirt baðýmsýz milletvekili olarak seçilen Fadýl Akgündüz’ün milletvekilliðine dair yaptýðý itirazlar, bu itirazlarýn nedenleri ve Fadýl Akgündüz’ün bu konu hakkýndaki cevaplarýný içeren bir doküman. 
295	Ýþsizlik sorunu	Türkiye'de iþsizlik sorununun bireylerin ruhsal saðlýðý üzerindeki olumsuz etkileri, iþsizliðin toplumsal ve ekonomik sonuçlarý.	Çalýþma gücü ve isteðine sahip olmasýna raðmen iþ bulamayanlarýn ya da sahip olduklarý iþten kendi iradesi dýþýnda ayrýlmak zorunda kalan bireylerin yaþadýðý zorluklar, iþsizliðin toplum refahý ve ekonomiye olumsuz etkileri, problemin çözümü için öneriler ve görüþler.
296	2005 F1 Türkiye Grand Prix	Formula 1'de 2005 sezonun 14'üncü yarýþý Türkiye Grand Prix'sini rakamlarla anltanan bir doküman.	Formula 1'de sezonun 14'üncü yarýþý Türkiye Grand Prix'sini kimin kazandýðýný, yarýþýn kaç ülkede gösterildiðini, kaç kiþi tarafýndan izlendiðini, pilotlarýn sýralamasýný, Türkiye’nin bu organizasyon sonunda elde ettiði mali kazancý ve benzeri bilgileri açýklayan bir doküman.
298	Ekonomik kriz	Türkiye'de ekonomik krize neden olan olaylar.	Türkiye'de son bir kaç yýl içinde olan ekonomik krizlerin nedenleri ve bunlara zemin hazýrlayan olaylar.
300	Nuri Bilge Ceylan	Nuri Bilge Ceylan sinemasýnýn Türk sinemasýna etkileri	Nuri Bilge Ceylan sinemasý, yeni Türk sinemasý içinde aldýðý yer, Türk sinemasýnýn geliþimine ne þekilde katkýda bulunabileceði, bu konudaki farklý görüþler.
301	Türkiye'de meydana gelen depremler	Türkiye'de meydana gelen depremlerin insanlar üzerindeki etkileri ve bu depremlere karþý alýnan önlemler.	Türkiye'de meydana gelen depremlere karþý insanlarýn aldýðý eðitim ve önlemler. Depremlerin, meydana geldikten sonra insanlarda býraktýðý etkiler ve devletin depremlerden sonra aldýðý önlemler.
302	ABD-Irak Savaþý	ABD ve Ýngiltere'nin Irak'a yönelik baþlattýðý saldýrýnýn ardýndan taraflarýn kayýplarýný açýklayan bir doküman.	Irak Savaþ’ýnýn baþlamasýndan yaklaþýk bir ay sonra iki tarafýnda kaybettiði asker sayýsý, toplam asker sayýlarý, sivil kayýplar, savaþ esirleri ve kuþatýlan bölgeler hakkýnda bilgi veren ve ayný zamanda Amerika’nýn Irak’a saldýrmasýnýn nedenlerini açýklayan bir doküman.
304	Hakan Þükür'ün milli takým kadrosuna alýnmamasý	Ersun Yanal Hakan Þükür'ü  A milli futbol takýmý kadrosuna dahil etmeme kararý doðru mu yanlýþ mý ? Ersun Yanal haklý mý haksýz mý?	Ersun Yanal Hakan Þükür'ü Milli takýma dahil etmedi. Hakan Þükür ve Ersun Yanal arasýnda yaþananlar basýnda geniþ yer buldu. Acaba Ersun Yanal bu kararýnda haklý mý haksýz mý?
305	Avrupa Birliði, Türkiye ve insan haklarý	Türkiye'nin Avrupa Birliði'ne (AB) uyum sürecinde insan haklarýyla ilgili yaptýðý yenilikler, çýkardýðý kanunlar	Avrupa Birliði Türkiye'den insan haklarýyla ilgili iyileþtirmeler bekliyor. Türkiye AB'ye girmek için Türkiye'deki insan haklarýyla ilgili sorunlarýný gidermek zorunda. 
306	Turizm	Son yýllarda Türk turizmindeki geliþmeler	
307	Türkiye’deki sokak çocuklarý	Türkiye’deki özellikle Ýstanbul’daki sokak çocuklarýyla ilgili olarak yapýlan çalýþmalar, bu çocuklarýn sokak çocuðu olma nedenleri, parçalanmýþ  ailelerin bu olaya etkileri, bu çocuklarýn sayýlarý, olayýn toplumsal etkileri, bu çocuklarýn iþlediði suçlar.	Türkiye de özellikle büyük illerde ve özellikle Ýstanbul’da çok sayýda olan ve son yýllarda çok arttýðý söylenen sokak çocuklarý konusunda yapýlan çalýþmalar bu çocuklarýn aile yapýlarý, evden kaçma nedenleri, suç örgütlerinin bu konudaki varsa etkileri ve bu olayýn arkasýndaki toplumsal ve ekonomik nedenler gibi konular belgelerde geçmelidir.
308	Türk filmleri ve sinemasý	Son yýllarda büyük sýçrama yaptýðý söylenen Türk sinemasýnda yeni parlayan isimler, en kayda deðer filmler, eski ustalarýn bu konudaki katkýlarý.	Türk sinemasýnýn son yýllarda büyük bir ilerleme kaydettiði söylenmektedir.  Son yýllarda yapýlýp büyük hasýlat getiren bu türden iyi filimler, bu filmlerin yapýmcýlarý ve artistleri,  bu geliþimin Yesilçam sinemasýyla olan baðlantýsý, ulusal ve uluslar arasý film yarýþmalarýnda kayda deðer bulunmuþ Türk filmleri konu dahilindedir.
311	Pakistan Depremi	Pakistan’da 8 Ekim’de meydana gelen büyük deprem ve bu depremin sonuçlarý	Güney Asya'da meydana gelen ve baþta Pakistan olmak üzere Hindistan ve Afganistan'ý da etkileyen 7.6 büyüklüðündeki depremde ölenlerin sayýsýný, yýkýlan yerleri, kurtarma çalýþmalarýný, diðer ülkelerin yaptýðý yardýmlarý anlatan bir doküman.
324	Sanat ödülleri	Türkiye'de edebiyat, müzik, resim, sinema gibi sanat dallarýnda verilmiþ ödüller.	Türkiye'de sanatýn deðiþik dallarýna ne gibi ödüller, hangi yýllarda kimlere verilmiþ. Bu ödüllerin sebepleri, sonuçlarý, etkileri...
339	Avrupa Birliði Fonlarý	Avrupa Birliði tarafýndan Türkiye'de, kamuya ve özel sektöre ait her alandaki proje ve programlar için ayrýlan fonlar, geri ödemeli veya hibeli krediler.	Avrupa Birliði'nin bütçesinden, Türkiye'de gerçekleþtirilecek özel sektöre veya kamuya ait her türlü sosyal, ekonomik, teknolojik proje ve programlarda kullanýlmak üzere ayrýlan fonlar, Birlik tarafýndan Türkiye'nin kurum ve kuruluþlarýnýn kullanýmýna açýlan geri ödemeli krediler veya hibe edilen maddi deðerler.
342	Futbolda þike	Futbolda þike soylentileri, yorumlar   ve kanýtlar	Maçlarda yapýlan þikeler, dönen paralar , kanýtlar, belgeler, yorumlar, verilen cezalar.
343	milletvekili  dokunulmazlýðý	Milletvekilleri meclis kararý olmadan yargýlanamaz, soruþturmaya tabii tutulamaz.	Milletvekillerine kürsü özgürlüðü amacýyla saðlanan dokunulmazlýk, bütün suçlarý da kapsamakta ve milletvekilleri yargýlanamamaktadýr. Yargýlama için tek yol meclisin dokunulmazlýðýn kaldýrýlmasý kararý almasý veya milletvekilliðinin sona ermesidir.
344	2001 Erkekler Avrupa Basketbol Þampiyonasý	milli takýmý sporcularýnýn turnuva süresindeki ve turnuva sonrasýndaki düþünceleri, onlarla yapýlan röportajlar ve takýmdaki son haberler	Türk erkek basketbol takýmýmýzýn 2001 avrupa þampiyonasýndaki performansý, turnuva süresindeki ve sonrasýndaki görüþleri, onlarla turnuva boyunca yapýlan röportajlar ve takýmýmýzdaki son durumlar 
347	2002 Dünya Kupasý	Türk Milli Takýmý’nýn 3. olduðu 2002 Dünya Kupasý	2002 Dünya Kupasý’na katýlan Türk Milli Futbol Takýmý’nýn baþarýsý anlatan mesela kupa maçlarý boyunca hangi takýmlarla oynadýklarýný ve bu maçlarda elde ettikleri sonuçlarý içeren bir doküman.
348	biliþim eðitimi ve projeleri	Türkiye'de yapýlan biliþim eðitimi ve biliþim projeleri, bu eðitimin ve projelerin kaliteleri ve sanayiye katkýlarý	Türkiye'de yapýlan biliþim eðitimi ve projelerinin süreçleri, sorunlarý ve ülkeye saðladýðý katkýlar. Bu eðitimin ve projelerin yaygýnlaþtýrýlmasý konusunda görüþ ve öneriler
349	Global ýsýnma	Global ýsýnmanýn dünya iklimine olumsuz etkileri nelerdir, bu etkileri azaltmak veya yok etmek için neler yapmalýyýz?	Global ýsýnmanýn dünyamýz üzerindeki olumsuz etkileri nelerdir, global ýsýnmayý önlemek için alýnacak tedbirler nelerdir, kyoto protokolünün önemi nedir, insanlarý bu konuda nasýl bilinçlendirebiliriz?
350	Türkiye'de mortgage	Mortgage'in nasýl iþleyeceði, Türkiye'ye yararlarý ve mevcut kredi sistemleri üzerindeki oluþturacaðý etki. Kamuoyunun mortgage'den beklentileri.	Mortgage sistemi ile nasýl ev sahibi olunabilceði, Türkiye'de ne tür etkilerinin gözlenebileceði. Mevcut kredi sistemindeki faiz oranlarýnda ne tür bir deðiþime yol açacaðý. Ev almayý planlayan insanlarýn mortgage sisteminden beklentileri.
352	ABD Afganistan Savaþý	ABD'nin Afganistan'a yaptýðý operasyonda Türkiye’nin rolünü açýklayan bir doküman. 	ABD'nin Afganistan'a yaptýðý operasyonda Türkiye’nin sýnýrlarýnýn, hava sahasýnýn ABD tarafýndan kullanýlýp kullanýlmadýðýný, kullanýlmýþsa hangi olanaklarýn ABD’nin çýkarý için sunulduðunu açýklayan bir doküman.
360	Yüzüklerin Efendisi-Kralýn Dönüþü	11 dalda ödül alan Yüzüklerin Efendisi-Kralýn Dönüþü filminin baþarýsýný anlatan bir doküman.	Los Angeles'daki Kodak Theatre'da düzenlenen 76. Oscar ödül töreninde, en iyi film ödülünü alan ve aday olduðu 11 dalda, ödüllerin tamamýný toplayan, Yüzüklerin Efendisi üçlemesinin sonuncusu Kralýn Dönüþü filminin baþarýsýný ve filmle ilgili yorumlarý içeren bir doküman.
362	Beyin Göçü	Türkiye'de yetiþen akademik olarak baþarýlý öðrencilerin üniversite veya sonrasýndaki bilimsel çalýþmalarý için yurt dýþýný tercih etmeleri	Türkiye'nin bilimsel geliþmesinin önünde büyük bir engel olarak gözüken beyin göçünün sebepleri ve Türkiye'deki bilimsel çalýþmalara muhtemel etkileri
366	aile kadýn þiddet	Aile içinde kadýna karþý uygulanan þiddetin alkol ve parasýzlýk gibi sebepler dýþýnda ne gibi sebepleri vardýr? Kadýna þiddet daha çok hangi tür toplumlarda görülmektedir? Çocuk geliþimine etkileri nelerdir?	"Kadýna uygulanan aile içi þiddetin nedenleri nelerdir? Bu tür bir þiddet daha çok hangi toplumlarda ve hangi þartlar altýnda görümektedir? ""Cennet annelerin ayaklarý altýndadýr"" deyiþi ile ""dayak cennetten çýkmaktadýr"" deyiþi büyük bir tezat oluþturmaz mý? Bugunün aile içi þiddete seyirci olan çocuklarý yarýnýn anneleri ya da babalarý olacaðýna göre, en azýndan çocuklarýmýzý aile içi þiddetten korumak için neler yapabiliriz?"
367	sporcularýn doping yapmasý	Sporcularýn doping yapmasý yarýþma veya müsabakalarda fiziksel dayanýklýklarýný artýrmak için kullanýmý yasak olan performans artýrýcý madderleri kullanmasýdýr.	Sporcular metabolizmalarýný hýzlandýracak, kendilerine güç ve dayanýklýlýk saðlayacak ilaçlarý veya maddeleri alarak rakiplerine üstünlük saðlamak için doping yaparlar. Doping sporcu saðlýðýna zarar verdiði için yasaklanmýþtýr.
368	ozon tabakasýndaki delik	Ozon tabakasý dünyaya uzaydan gelen ultraviyole ýþýnnlarý süzen bir filtredir. Bu filtrede oluþan delik cilt kanseri vakalarýnda artýþa neden olmaktadýr.	Ozon tabasýnýn incelerek delinmesi ve deliðin büyümesinde ana etken kloroflorokarbon gazlarýdýr. Oluþan delikten dünyaya eriþen zaralý ýþýnlar cilt kanserine neden olmaktadýr. Iþýnlarýn zaralý etkisinden korunmak için güneþ ýþýnlarýna çok fazla maruz kalmamak gerekmetedir.
373	Rusya'da okul baskýný 	Kuzey Osetya’da yüzlerce kiþinin rehin tutulduðu okul binasýna Rus güçleri tarafýndan düzenlenen operasyon.	Rusya'nýn kuzey bölgesinde yer alan Osetya þehrinde, teröristler tarafýndan iþgal edilen ve içerisinde yüzlerce kiþinin rehin tutulduðu okul binasýna Rus güçler tarafýndan düzenlenen operasyon.
374	Ýstanbul'da bombalý saldýrý	Ýstanbul'da 15 Kasým 2003 tarihinde, Kuledibi'ndeki Neve Þalom ve Þiþli'deki Betyaakov Sinagogu yakýnlarýnda saat 09.30'da meydana gelen patlamalar.	Ýstanbul'da 15 Kasým 2003 tarihinde, Kuledibi'ndeki Neve Þalom ve Þiþli'de Betyaakov Sinagogu yakýnlarýnda saat 09.30'da meydana gelen patlamalarda ölenlerin ve yaralananlarýn sayýsýný, bu saldýrýyla üstlenen gruplarýn açýklamalarýný içeren bir doküman.
377	Sakýp Sabancý'nýn vefatý	Sakýp Sabancý'nýn 10 Nisan 2004 saat 05.55 sýralarýnda vefat etmesiyle ilgili dokümanlar.	Türkiye'nin en büyük iþadamlarýndan biri olan Sabancý Holding Yönetim Kurulu Baþkaný Sakýp Sabancý'nýn, tedavi gördüðü Amerikan Hastanesi'nde 10 Nisan 2004 saat 05.55 sýralarýnda vefat etmesiyle ilgili bütün detaylarý ve vefatýndan sonra yaþanan olaylarý  içeren bir doküman.
378	Ecevit Sezer çatýþmasý	MGK toplantýsýnda Cumhurbaþkaný Sezer’in Baþbakan Ecevit’e anayasayý fýrlatmasýyla  geliþen olaylar.	Milli Güvenlik Konseyi toplantýsýnda Sezer’in Ecevit’e “Bilmiyorsanýz anayasayý okuyun.” Diyerek anayasayý fýrlatmasý, Ecevit’in bu olayýn ardýndan basýna yaptýðý açýklama ve ilgili geliþmeler.
382	Kýbrýs Türk üniversiteleri	Kýbrýs’ta açýlan yeni üniversitelerin ve burada okuyan öðrencilerin sorunlarý, nasýl öðrenci aldýklarý, denklik, kalacak yurt, öðretim üyesi bulma konusunda yaþanan sorunlar.	Kýbrýs’ta açýlan yeni Türkiye’ye yönelik üniversitelerin denklik ve benzeri sorunlarý, YÖK’le olan iliþkileri, kaç öðrenci aldýklarý, açýlan bolümler, tercih durumlarý, bölgedeki kumarhanelerin öðrenciler üzerindeki etkileri.
383	Türkiye'de 2003 yýlýnda turizm	Türkiye'ye 2003'te gelen turist sayýsý ve daðýlýmý, illerdeki turizm durumu, turizmin ekonomiye katkýsý,	Türkiye'ye gelen turistlerin ülkelere, aylara göre daðýlýmý, gelen turistlerin Türkiye ekonomisine katkýsý, illere göre turizm yoðunluðu, yaz ve kýþ turizm verileri   
406	Türkiye'nin Nükleer santral çalýþmalarý	Türkiye'nin Nükleer santral çalýþmalarý, nülkeer santral projeleri	Türkiye'nin Nükleer santral çalýþmalarý, nülkeer santral projeleri, nükleer santralin güvenliði, Çevrecilerin tepkileri
411	hýzlý tren kazasý	hýzlý tren kazasýnýn nedenleri ve alýnan önlemler	ankara istanbul arasýndaki hýzlý tren kazasýnýn nedenleri, bunun bir daha yaþanmamasý için alýnan önlemler.
412	YÖK'ün Üniversitelerimiz üzerindeki etkisi	Yüksek Öðretim Kurulu, YÖK'ün kuruluþu, üniversitelerimiz üzerindeki olumlu olumsuz etkileri, eleþtirilen yönleri, YÖK hükümet iliþkileri	Yüksek Öðretim Kurulu, YÖK'ün kuruluþ amacý, üniversiteler, öðretim üyeleri ve üniversite öðrencilerinin YÖK'e bakýþý, üniversitelerin yönetim ve geliþimine olumlu olumsuz etkileri, yapýlan eleþtiriler, protestolar, YÖK'ün yeniden yapýlandýrýlmasý, YÖK'ün hükümetle iliþkileri, YÖK Bilkent Doðramacý iliþkisi, AB sürecinde YÖK'ün yeri
414	Ýbrahim Tatlýses’in kadýnlarý	Ýbrahim Tatlýses’in yaþadýðý aþklar ve kadýnlarla ilgili yarattýðý huzursuzluklar kavgalar.	Meþhur türkücü Ýbrahim Tatlises’in yaþadýðý aþklar, eski ve yeni sevgilileriyle olan kavgalarý.
416	Parçalanmýþ aileler	Parçalanmýþ aile bireylerinin  yaþadýðý sorunlar, özellikle bu türden ailelerin çocuklarýnýn ve kadýnlarýnýn durumlarý.	Türkiye’de terör, ayrýlma, boþanma, terk etme ve benzeri durumlarda ortaya çýkan parçalanmýþ aile tablosunda bu türden aileye mensup kiþilerin özel hayatlarýnda yaþadýklarý sorunlar.
417	Aile içi þiddet	Aile bireyleri arasýnda yaþanan þiddet olaylarý ve sebepleri. Çocuklara ve kadýnlara uygulanan þiddet, buna maruz kalanlarýn yaþadýðý sorunlar.	Eþler arasýnda yaþanan þiddet olaylarý, dayaða maruz kalan çocuklar, insan haklarý açýsýndan konunun ele alýnmasý, uzman yorumlarý, hukuki önlemler ve yaptýrýmlar.
419	Türkiye’de kanser	Türkiye’de son yýllarda özellikle Karadeniz bölgesinde arttýðý düþünülen kanserli hasta sayýsýnýn Çernobil olayý ile varsa olan iliþkisi ve bu iliþkiyi irdeleyen çalýþmalar, resmi kuruluþlar tarafýndan verilen istatistiklerin güvenilirliði.	Son yýllarda çok gözlenen kanser vakalarýnýn Çernobil olayý ile olan iliþkisi, bu iliþkinin irdelenmesi, Karadeniz’de gözüken artmýþ kanser vakalarý, yetiþtirilen ürünlerin kanser yapma riski, saðlýk bakanlýðý ve öteki resmi makamlarca verilen sayýlarýn ne denli güvenilir olduðu.
421	Futbol terörü ve holiganizm	Futbolda yaþanan þiddet olaylarý, bunlarýn nedenleri ve engellenmesi için alýnacak önlemler.	Türkiye'de ve dünyada yaþanan futbol terörünün arkasýnda yatan önemli nedenler, kültürel düzeyin etkisi. Þiddetin ve holiganizmin önüne geçmek için gerekli olan uygulamalar.
423	Türkiye'de ikinci el otomobil piyasasý	Türkiye'de son yýllarda ikinci el otomobil piyasasýndaki durum, son dönemlerde piyasada yaþanan düþüþün sebep ve sonuçlarý, yeni otomobil piyasasýndaki yeniliklerle baðlantýsý	Türkiye'de son yýllarda ikinci el otomobil piyasasýndaki durum, piyasadaki deðiþme nedenleri, piyasayý canlandýrma çabalarý ve sýfýr otomobil piyasasý ile baðlantýsý
424	Tarihi eser kaçakçýlýðý	Türkiye'den kaçýrýlan tarihi eserler ve tarihi eser kaçakçýlýða karþý yapýlanlar	Türkiye'de sýklýkla rastlanan tarihi eser kaçakçýlýðý konusu ile ilgili olarak kaçýrýlan eserler nelerdir, kaçakçýlýðý önlemeye yönelik neler yapýlmaktadýr
426	Festival	Ýnsanlarýn eðlenmesi ve kültür paylaþýmý yapabilmesi için düzenlenen festivaller.	Festival tarihleri, katýlmak isteyenler için genel bilgiler, festival kapsamýnda yer alan organizasyonlar, yorumlar.
428	Türkiye'de bayram tatillerinde meydana gelen trafik kazalarý	Türkiye'de bayram tatillerinde meydana gelen trafik kazalarýnýn nedenleri, va alýnan önlemler.	Türkiye'de bayram tatillerinde meydana gelen trafik kazalarýnýn nedenleri, insanlar üzerindeki etkileri ve kaza sayýlarýný azaltmak için alýnan önlemler.
432	öðrenmeyi etkileyen faktörler	öðrenmeyi etkileyen faktörler ve etkileri, öðrenme teknikleri 	öðrenmeyi etkileyen faktörler ve etkileri, öðrenme teknikleri, motivasyonun ve öðretme tekniðinin önemi, öðrenci-öðretmen iliþkisi
433	Kekik otu	Kekik otunun faydalarý, saðlýk üzerindeki etkileri	Kekik otunun faydalarý, saðlýk üzerindeki etkileri, kullaným þekli ve miktarý
435	telif haklarý	Türkiye'de telif hakký yasalarýnýn durumu ve bu konuda yapýlan çalýþmalar	Türkiye'de telif hakký yasalarýnýn durumu, film, müzik ve kitap konularýnda þu anki durum ve bu konuda yapýlan yasal çalýþmalar
437	Ýnternet ve toplum	Ýnternet'in yaygýnlaþmasý, sunulan hizmetler, toplum üzerindeki etkileri.	Dünya'da Ýnternet'in yaygýnlaþmasý sonucu ortaya çýkan deðiþiklikler, Ýnternet cafeler, Sunulan hizmetler, Sansür ve toplumun buna bakýþý, Ýnternet suçlarý.
442	Tarým Hayvancýlýk Sorunlarý	Türkiye'de tarým ve hayvancýlýk alanýnda yaþanan problemler ve bunlarýn çözüm yollarý.	Tarým ve hayvancýlýk sektörünün Türkiye ekonomisine katkýsý, insanlarýn yaþamýna ve ekonomiye etkisi ve bu sektörde yaþanan sorunlar ve çözümleri.
444	Ýran'da Nükleer Enerji	Ýran'ýn nükleer enerji ile ilgili politikalarý, açýklamalarý, nükleer enerji ile ilgili Ýran'da sürdürülen faaliyetler, uluslararasý toplumdan Ýran'a nükleer enerji politikalarý ile ilgili yöneltilen tepkiler veya verilen destekler	Ýran hükümeti tarafýndan Ýran'ýn nükleer enerji politikalarý ile ilgili yapýlan açýklamalar, bu konu ile ilgili Ýran'ýn faaliyetleri, uluslararasý toplumun Ýran'ýn nükleer enerji programý ile ilgili yaptýðý açýklamalar, Ýran'a gösterilen tepkiler, yaptýrým planlarý, diðer hükümetlerden Ýran'a nükleer enerji politikalarý ile ilgili verilen destekler
450	satranç	Satrancýn yazýlý basýnda ne ölçüde yer aldýðý	Toplumun ve basýnýn satranca ilgisini ölçmek.
452	Kalýtsal Hastalýklar	Genlerin insan saðlýðý üzerindeki etkisi, hastalýklarýn kalýtsal nedenleri.	Kalýtým yoluyla insanlarda oluþan hastalýk çeþitleri ve tedavi yöntemleri. Genetik araþtýrmalarýn ortaya koyduðu kalýtsal hastalýklar.
472	hiperaktivite ve dikkat eksikliði	hiperaktivite ve dikkat eksikliði nedir? Belirtileri, teþhisi, tedavisi nelerdir? Çocuklarýn ve yetiþkinlerin günlük yaþamýna olumlu ve olumsuz etkileri nedir? Hiperaktif çocuklara öðretmen nasýl yaklaþmalý? Bu çocuklara yönelik eðitim sistemi nasýl geliþtirilebilir?	Beslenmenin dikkat eksikliðindeki rolü nedir? Ýlaç dýþýnda alternatif tedavi yöntemi var mý? Diet programlarý var mý? Ritalin, concerta gibi ilaçlar dopamin seviyesini nasýl etkiler? Ýlaç yerine konsantrasyonu artýrýcý kafein içeren kahve, kola gibi ilaçlar alýnsa her bireye ayný faydayý gösterir mi? Ýlaç tedavisi ne zamana kadar gerekir? Neden teþhis ve tedavi yöntemleri kiþiden kiþiye deðiþiyor? 
474	lenf kanseri	Türkiye'deki lenf kanser istatistikleri	2001-2005 arasýnda lenf kanser vakalarý ve daðýlýmý
